,link,Last LPSN update,Domain,Phylum,Class,Order,Family,Genus,Species,Ref 1,Ref 2,Ref 3,Ref 4,Ref 5,Ref 6,Ref 7,Ref 8,Ref 9,Ref 10
9109,https://bacdive.dsmz.de/strain/19878,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9110,https://bacdive.dsmz.de/strain/19879,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9111,https://bacdive.dsmz.de/strain/19880,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9112,https://bacdive.dsmz.de/strain/19881,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9113,https://bacdive.dsmz.de/strain/19883,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9114,https://bacdive.dsmz.de/strain/19884,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9115,https://bacdive.dsmz.de/strain/19885,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9116,https://bacdive.dsmz.de/strain/19886,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9117,https://bacdive.dsmz.de/strain/19887,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9118,https://bacdive.dsmz.de/strain/19892,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9119,https://bacdive.dsmz.de/strain/19893,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9120,https://bacdive.dsmz.de/strain/19895,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9121,https://bacdive.dsmz.de/strain/19896,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9122,https://bacdive.dsmz.de/strain/19898,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9123,https://bacdive.dsmz.de/strain/19899,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9124,https://bacdive.dsmz.de/strain/19965,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9125,https://bacdive.dsmz.de/strain/19967,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9126,https://bacdive.dsmz.de/strain/19968,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9127,https://bacdive.dsmz.de/strain/20153,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9128,https://bacdive.dsmz.de/strain/20181,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9129,https://bacdive.dsmz.de/strain/20191,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9130,https://bacdive.dsmz.de/strain/20192,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9131,https://bacdive.dsmz.de/strain/20228,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9132,https://bacdive.dsmz.de/strain/20229,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9133,https://bacdive.dsmz.de/strain/20246,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9134,https://bacdive.dsmz.de/strain/20247,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9135,https://bacdive.dsmz.de/strain/20249,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9136,https://bacdive.dsmz.de/strain/20251,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9137,https://bacdive.dsmz.de/strain/20272,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9138,https://bacdive.dsmz.de/strain/20273,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9139,https://bacdive.dsmz.de/strain/20290,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9140,https://bacdive.dsmz.de/strain/20292,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9141,https://bacdive.dsmz.de/strain/20293,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9142,https://bacdive.dsmz.de/strain/20294,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9143,https://bacdive.dsmz.de/strain/20295,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9144,https://bacdive.dsmz.de/strain/20296,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9145,https://bacdive.dsmz.de/strain/21485,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9146,https://bacdive.dsmz.de/strain/21486,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus fulvus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9208,https://bacdive.dsmz.de/strain/18188,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus stipitatus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9209,https://bacdive.dsmz.de/strain/20556,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus stipitatus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9210,https://bacdive.dsmz.de/strain/20558,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus stipitatus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9211,https://bacdive.dsmz.de/strain/20590,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus stipitatus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9212,https://bacdive.dsmz.de/strain/20595,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus stipitatus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9213,https://bacdive.dsmz.de/strain/21407,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus stipitatus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9214,https://bacdive.dsmz.de/strain/21571,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus stipitatus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9215,https://bacdive.dsmz.de/strain/21577,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus stipitatus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9216,https://bacdive.dsmz.de/strain/21612,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus stipitatus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9217,https://bacdive.dsmz.de/strain/21615,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus stipitatus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9218,https://bacdive.dsmz.de/strain/21617,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus stipitatus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9219,https://bacdive.dsmz.de/strain/21619,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus stipitatus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9220,https://bacdive.dsmz.de/strain/21621,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus stipitatus,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9322,https://bacdive.dsmz.de/strain/18189,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9323,https://bacdive.dsmz.de/strain/18190,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9324,https://bacdive.dsmz.de/strain/21156,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9325,https://bacdive.dsmz.de/strain/21168,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9326,https://bacdive.dsmz.de/strain/22277,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9327,https://bacdive.dsmz.de/strain/22288,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9328,https://bacdive.dsmz.de/strain/22289,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9329,https://bacdive.dsmz.de/strain/22290,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9330,https://bacdive.dsmz.de/strain/22291,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9331,https://bacdive.dsmz.de/strain/22292,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9332,https://bacdive.dsmz.de/strain/22293,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9333,https://bacdive.dsmz.de/strain/22294,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9334,https://bacdive.dsmz.de/strain/22358,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9335,https://bacdive.dsmz.de/strain/22359,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9336,https://bacdive.dsmz.de/strain/22361,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9337,https://bacdive.dsmz.de/strain/22362,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9338,https://bacdive.dsmz.de/strain/22363,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9339,https://bacdive.dsmz.de/strain/22364,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9340,https://bacdive.dsmz.de/strain/22365,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9341,https://bacdive.dsmz.de/strain/22366,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9342,https://bacdive.dsmz.de/strain/22388,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9343,https://bacdive.dsmz.de/strain/22390,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9344,https://bacdive.dsmz.de/strain/22392,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9345,https://bacdive.dsmz.de/strain/22397,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9346,https://bacdive.dsmz.de/strain/22398,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9347,https://bacdive.dsmz.de/strain/22399,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9348,https://bacdive.dsmz.de/strain/22422,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9349,https://bacdive.dsmz.de/strain/22424,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9350,https://bacdive.dsmz.de/strain/22426,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9351,https://bacdive.dsmz.de/strain/22427,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9352,https://bacdive.dsmz.de/strain/22428,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9353,https://bacdive.dsmz.de/strain/22429,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9354,https://bacdive.dsmz.de/strain/22430,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9355,https://bacdive.dsmz.de/strain/22432,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9356,https://bacdive.dsmz.de/strain/22439,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9357,https://bacdive.dsmz.de/strain/22441,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9358,https://bacdive.dsmz.de/strain/22443,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9359,https://bacdive.dsmz.de/strain/22445,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9360,https://bacdive.dsmz.de/strain/22447,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9361,https://bacdive.dsmz.de/strain/22452,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9362,https://bacdive.dsmz.de/strain/22453,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9363,https://bacdive.dsmz.de/strain/22454,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9364,https://bacdive.dsmz.de/strain/22455,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9365,https://bacdive.dsmz.de/strain/22468,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9366,https://bacdive.dsmz.de/strain/22470,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9367,https://bacdive.dsmz.de/strain/22472,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9368,https://bacdive.dsmz.de/strain/22474,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9369,https://bacdive.dsmz.de/strain/22478,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9370,https://bacdive.dsmz.de/strain/22480,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9371,https://bacdive.dsmz.de/strain/22484,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9372,https://bacdive.dsmz.de/strain/22486,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9373,https://bacdive.dsmz.de/strain/22487,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9374,https://bacdive.dsmz.de/strain/22488,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9375,https://bacdive.dsmz.de/strain/22536,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
9376,https://bacdive.dsmz.de/strain/22537,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Myxococcus virescens,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
